epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.153,1.1788,10.962,1.20816,0.52193,0.42078,0.44031,0.28288,1.22955,1.77879,1.30089,6.39114e-05,6.39114e-05,6.39114e-05
2,751.179,1.24468,3.23477,1.26062,0.44134,0.33817,0.32983,0.1914,1.36316,1.89592,1.35177,0.000125379,0.000125379,0.000125379
3,1056.42,1.36415,2.37718,1.34191,0.53813,0.46416,0.46609,0.27781,1.39887,1.53955,1.43651,0.000184312,0.000184312,0.000184312
4,1585.88,1.34745,2.10696,1.36704,0.54964,0.41538,0.45683,0.28833,1.35129,1.55958,1.31043,0.000180595,0.000180595,0.000180595
5,1893.01,1.29574,1.97184,1.33042,0.57006,0.44318,0.44135,0.28319,1.30331,1.69522,1.39578,0.000176794,0.000176794,0.000176794
6,2400.52,1.25866,1.87631,1.29501,0.61748,0.41269,0.48103,0.32393,1.22534,1.57234,1.29885,0.000172992,0.000172992,0.000172992
7,2704.69,1.22549,1.81243,1.27591,0.69814,0.49717,0.56701,0.37735,1.22521,1.45637,1.28185,0.00016919,0.00016919,0.00016919
8,3289.6,1.21823,1.63981,1.28171,0.69395,0.51768,0.59046,0.39569,1.18955,1.25935,1.26691,0.000165389,0.000165389,0.000165389
9,3635.12,1.1416,1.47564,1.22343,0.75563,0.55574,0.61946,0.42986,1.12558,1.44651,1.22024,0.000161587,0.000161587,0.000161587
10,4105.47,1.12043,1.41505,1.19738,0.73546,0.56167,0.64716,0.45087,1.09422,1.1238,1.20265,0.000157786,0.000157786,0.000157786
11,4455.92,1.12561,1.44137,1.22187,0.74594,0.55358,0.64628,0.43313,1.16334,1.17637,1.23719,0.000153984,0.000153984,0.000153984
12,5066.95,1.09899,1.32585,1.19924,0.75648,0.5614,0.65262,0.45506,1.09401,1.1716,1.19727,0.000150182,0.000150182,0.000150182
